Elements,Threads,Total time,N,F,E,SUM
1000,1,134,8.00,17.00,56.00,53.00
1000,2,122,11.00,20.50,42.00,48.50
1000,4,137,11.75,23.75,37.00,64.50
1000,6,127,12.33,24.67,37.17,52.83
1000,8,173,4.25,33.25,61.75,73.75
1000,10,191,4.00,55.30,45.60,86.10
1000,12,153,1.42,26.00,42.17,83.42
1000,14,298,4.00,99.50,65.14,129.36
1000,16,233,2.06,59.56,57.06,114.31
1000,18,215,2.00,70.17,50.06,92.78
1000,20,316,1.35,95.55,74.35,144.75
1000,22,226,2.27,18.00,52.32,153.41
1000,24,402,3.13,88.08,125.83,184.96
1000,26,359,4.54,104.31,49.96,200.19
1000,28,266,7.36,26.36,98.18,134.11
1000,30,211,7.07,15.70,35.87,152.37
1000,32,472,4.13,110.84,51.41,305.63
5000,1,723,25.00,201.00,472.00,25.00
5000,2,532,20.00,116.00,272.00,124.00
5000,4,511,23.25,95.25,220.50,172.00
5000,6,547,11.83,108.67,156.17,270.33
5000,8,699,12.50,159.38,246.88,280.25
5000,10,701,17.90,244.50,195.80,242.80
5000,12,646,4.42,185.33,202.58,253.67
5000,14,658,5.86,191.86,210.79,249.50
5000,16,728,7.44,206.38,247.63,266.56
5000,18,723,3.39,304.11,152.22,263.28
5000,20,809,6.40,149.70,343.30,309.60
5000,22,830,8.82,184.82,286.95,349.41
5000,24,944,25.17,344.46,192.42,381.96
5000,26,1042,9.23,212.96,432.31,387.50
5000,28,1487,14.79,758.14,279.21,434.86
5000,30,1732,19.60,917.60,285.00,509.80
5000,32,879,5.81,162.53,289.66,421.00
10000,1,4108,16.00,606.00,3439.00,47.00
10000,2,2953,23.50,414.50,2172.00,343.00
10000,4,2397,18.00,324.75,1293.00,761.25
10000,6,2050,17.83,327.00,834.83,870.33
10000,8,2241,19.25,368.00,933.13,920.63
10000,10,2142,10.00,433.60,769.90,928.50
10000,12,2475,12.92,494.33,1093.83,873.92
10000,14,2028,11.50,440.57,649.29,926.64
10000,16,2355,8.00,630.88,824.06,892.06
10000,18,2509,5.28,644.28,891.33,968.11
10000,20,2419,2.50,587.60,896.95,931.95
10000,22,3188,10.41,1041.18,1030.73,1105.68
10000,24,3095,26.50,808.42,1107.08,1153.00
10000,26,2844,9.04,609.23,1205.23,1020.50
10000,28,3927,30.14,1320.29,1482.29,1094.29
10000,30,3958,16.23,1246.03,1517.43,1178.30
10000,32,3203,11.31,910.56,1132.44,1148.69
15000,1,8476,21.00,1313.00,7100.00,42.00
15000,2,6331,18.00,894.50,4436.00,982.50
15000,4,5433,36.25,678.50,3346.75,1371.50
15000,6,5034,27.33,737.17,2238.67,2030.83
15000,8,4970,16.13,784.88,2108.25,2060.75
15000,10,4728,6.90,783.10,1758.60,2179.40
15000,12,4919,10.08,883.58,1875.08,2150.25
15000,14,4985,11.50,973.29,1643.50,2356.71
15000,16,5103,19.13,1030.63,1614.00,2439.25
15000,18,4723,7.17,1155.72,1499.89,2060.22
15000,20,5759,6.90,1625.25,1628.55,2498.30
15000,22,4931,24.68,1071.18,1530.27,2304.86
15000,24,5758,11.79,1702.71,1620.08,2423.42
15000,26,6142,16.00,1375.42,2261.88,2488.69
15000,28,6546,23.86,1980.57,1765.89,2775.68
15000,30,6752,14.73,1786.17,2007.63,2943.47
15000,32,5882,33.28,1484.44,1573.50,2790.78
20000,1,19995,19.00,2664.00,17271.00,41.00
20000,2,14271,60.00,1966.00,9762.00,2483.00
20000,4,10401,22.75,1440.25,5483.75,3454.25
20000,6,9389,36.50,1283.00,5377.67,2691.83
20000,8,9574,18.00,1368.00,4616.25,3571.75
20000,10,9190,25.60,1486.00,3816.20,3862.20
20000,12,8419,11.00,1436.92,3622.08,3349.00
20000,14,9449,9.00,1741.64,3758.93,3939.43
20000,16,9957,13.94,1958.94,3872.69,4111.44
20000,18,8908,17.39,2049.89,3288.78,3551.94
20000,20,9706,26.30,2543.15,3216.95,3919.60
20000,22,9961,15.23,2668.50,2950.27,4327.00
20000,24,9658,5.83,2479.08,3119.33,4053.75
20000,26,10491,17.54,2455.19,3083.15,4935.12
20000,28,11748,16.61,2777.25,4642.86,4311.29
20000,30,11703,75.20,3100.60,4352.70,4174.50
20000,32,12992,24.94,3035.25,5492.03,4439.78
25000,1,29009,40.00,4605.00,24326.00,38.00
25000,2,19266,33.50,2772.50,13129.50,3330.50
25000,4,15308,34.25,2239.25,7839.75,5194.75
25000,6,14582,33.67,2261.50,6673.00,5613.83
25000,8,15247,48.00,2295.50,6936.63,5966.88
25000,10,13838,18.00,2371.40,5126.90,6321.70
25000,12,13456,16.00,2561.33,4496.17,6382.50
25000,14,13489,15.64,2941.43,4150.50,6381.43
25000,16,13637,15.25,3012.88,4564.75,6044.13
25000,18,15477,16.89,3032.78,6026.28,6401.06
25000,20,15194,13.05,3363.90,5889.55,5927.50
25000,22,13860,3.05,3377.36,4526.91,5952.68
25000,24,14164,7.67,3552.46,4651.38,5952.50
25000,26,15269,21.88,3799.92,4815.92,6631.27
25000,28,15456,71.93,3739.07,5446.54,6198.46
25000,30,18527,43.17,6433.67,5134.10,6916.07
25000,32,17379,33.63,5261.66,4411.63,7672.09
30000,1,46021,41.00,6426.00,38288.00,1266.00
30000,2,30868,62.00,4289.50,21129.50,5387.00
30000,4,22197,53.25,3423.00,11462.00,7258.75
30000,6,20088,57.00,3474.33,7568.67,8988.00
30000,8,19891,32.50,3379.75,7839.38,8639.38
30000,10,20410,32.60,3567.70,7712.90,9096.80
30000,12,18696,25.25,3646.17,5919.83,9104.75
30000,14,19919,26.00,4083.86,6216.57,9592.57
30000,16,19759,7.75,4372.25,5918.44,9460.56
30000,18,18632,7.17,4148.50,5789.28,8687.06
30000,20,19607,71.60,4761.80,6172.95,8600.65
30000,22,23351,23.95,5103.82,9900.45,8322.77
30000,24,23741,8.13,5418.96,9292.63,9021.29
30000,26,22299,23.77,5219.12,7671.19,9384.92
30000,28,23772,83.79,5560.75,8737.04,9390.43
30000,30,24136,24.73,7223.63,5941.30,10946.33
30000,32,25305,42.03,7612.09,7434.56,10216.31
35000,1,81656,28.00,9106.00,72491.00,31.00
35000,2,51057,30.50,5555.50,38301.50,7169.50
35000,4,35914,39.50,4677.75,20623.25,10573.50
35000,6,31952,54.50,4609.00,15486.17,11802.33
35000,8,30428,29.13,4929.88,11989.50,13479.50
35000,10,30281,29.20,5025.90,11061.40,14164.50
35000,12,27444,23.42,4883.92,9356.83,13179.83
35000,14,26908,20.64,5092.71,9645.86,12148.79
35000,16,28292,26.38,5592.69,10103.75,12569.19
35000,18,28132,26.61,6137.50,9669.39,12298.50
35000,20,30728,26.85,6555.50,11460.50,12685.15
35000,22,29387,35.59,6748.32,9409.41,13193.68
35000,24,30128,33.96,7580.58,10447.42,12066.04
35000,26,31939,20.04,7123.19,13179.88,11615.88
35000,28,35023,24.21,8601.46,13305.86,13091.46
35000,30,34083,44.97,9338.60,10037.53,14661.90
