Elements,Threads,Total time,N,F,E,SUM
1000,1,118,9,22,46,41
1000,2,137,7,35,36,60
1000,4,124,12,27,39,46
1000,6,158,6,24,64,65
1000,8,205,5,70,71,58
1000,10,150,6,31,61,52
1000,12,214,2,45,81,87
1000,14,231,4,60,88,79
1000,16,259,2,68,85,104
1000,18,235,2,50,53,130
1000,20,261,1,61,90,108
1000,22,281,2,103,71,105
1000,24,341,2,32,165,142
1000,26,311,1,36,79,194
1000,28,324,4,27,130,164
1000,30,291,1,37,86,167
1000,32,294,1,27,125,140
5000,1,696,14,182,463,37
5000,2,583,13,133,275,163
5000,4,513,14,91,200,209
5000,6,536,17,93,194,232
5000,8,621,11,88,256,267
5000,10,528,10,92,200,227
5000,12,619,4,132,254,229
5000,14,616,7,110,256,243
5000,16,809,14,327,168,300
5000,18,822,7,231,255,328
5000,20,644,5,128,233,278
5000,22,747,9,153,330,255
5000,24,935,7,183,437,308
5000,26,770,13,103,299,356
5000,28,791,2,134,220,436
5000,30,815,9,122,288,397
5000,32,718,8,146,178,386
10000,1,3911,16,609,3241,45
10000,2,2921,22,420,2025,455
10000,4,2351,27,312,1215,798
10000,6,2229,27,307,978,918
10000,8,2146,15,303,814,1014
10000,10,2125,18,283,1020,803
10000,12,2571,3,323,1437,807
10000,14,2354,4,334,1125,890
10000,16,2045,10,328,848,859
10000,18,2413,4,401,1149,859
10000,20,1981,4,399,730,848
10000,22,4250,7,390,3110,743
10000,24,3725,12,392,2537,784
10000,26,2913,10,414,1619,871
10000,28,2883,2,566,1185,1131
10000,30,3183,5,438,1901,840
10000,32,3539,4,462,2180,893
15000,1,8538,18,1305,7181,34
15000,2,5506,26,862,3641,979
15000,4,4594,19,617,2478,1480
15000,6,4877,21,627,2017,2212
15000,8,4872,25,607,1909,2332
15000,10,4922,26,632,1794,2470
15000,12,4701,13,615,2081,1993
15000,14,4583,7,671,2021,1884
15000,16,5504,22,880,2629,1973
15000,18,3833,4,682,1491,1656
15000,20,4533,5,801,2124,1603
15000,22,4726,10,836,2314,1566
15000,24,6415,21,874,4050,1471
15000,26,4705,9,899,2197,1600
15000,28,4572,9,940,1943,1680
15000,30,5498,7,1032,2744,1715
15000,32,4941,25,1057,2124,1735
20000,1,19062,20,2391,16617,34
20000,2,12521,31,1628,8809,2054
20000,4,9191,40,1181,4979,2991
20000,6,8632,34,1105,4361,3133
20000,8,8698,49,1058,4400,3191
20000,10,8838,15,1064,4067,3692
20000,12,9702,20,1037,5600,3045
20000,14,8444,6,1089,4043,3305
20000,16,8159,14,1217,3631,3297
20000,18,8459,20,1268,3655,3516
20000,20,8038,14,1320,3442,3262
20000,22,8257,7,1297,3607,3347
20000,24,8196,12,1466,3428,3290
20000,26,8211,7,1528,3285,3391
20000,28,12795,41,1678,7910,3167
20000,30,11263,6,1686,6600,2971
20000,32,9145,16,1878,3448,3803
25000,1,28394,23,4184,24138,49
25000,2,18398,35,2392,12806,3166
25000,4,13660,33,1850,7036,4742
25000,6,12213,28,1681,5429,5075
25000,8,12787,56,1684,5220,5827
25000,10,13192,27,1668,5544,5954
25000,12,12563,39,1745,5063,5717
25000,14,12358,13,1722,4880,5743
25000,16,12626,11,1862,5507,5245
25000,18,11998,51,1993,5565,4389
25000,20,12975,21,2043,6074,4837
25000,22,11618,9,2100,5113,4396
25000,24,11919,59,2237,5071,4552
25000,26,11949,9,2437,4790,4713
25000,28,11932,4,2765,4346,4817
25000,30,13266,22,2623,5343,5278
25000,32,12829,13,2840,5094,4882
30000,1,43804,25,5635,38105,39
30000,2,29681,25,3670,21019,4968
30000,4,19987,41,2595,10662,6689
30000,6,18181,38,2421,8102,7621
30000,8,17669,31,2430,7337,7871
30000,10,17374,45,2347,6747,8235
30000,12,17396,21,2556,6815,8003
30000,14,17985,15,2481,7973,7517
30000,16,17940,10,2721,7742,7467
30000,18,17710,36,2875,7693,7106
30000,20,18169,8,2963,8431,6767
30000,22,19198,13,3053,9438,6694
30000,24,18369,30,3615,7881,6844
30000,26,18405,10,3384,7760,7251
30000,28,19255,12,3763,8351,7130
30000,30,21913,41,3845,11234,6793
