Elements,Threads,Total time,N,F,E,SUM
1000,1,153,16,34,65,38
1000,2,122,12,33,43,35
1000,4,126,10,30,43,44
1000,6,150,6,33,50,61
1000,8,136,8,38,42,49
1000,10,169,6,36,67,60
1000,12,181,4,38,70,70
1000,14,191,2,48,79,62
1000,16,196,3,45,74,74
1000,18,185,3,43,75,64
1000,20,207,2,48,67,90
1000,22,199,2,58,68,70
1000,24,257,3,93,71,90
1000,26,257,5,88,76,88
1000,28,269,4,86,88,90
1000,30,261,11,105,63,81
1000,32,253,5,93,62,93
5000,1,748,16,200,488,44
5000,2,641,21,136,337,148
5000,4,623,18,113,240,253
5000,6,522,16,100,166,241
5000,8,626,15,103,203,306
5000,10,516,15,111,157,234
5000,12,506,6,111,148,240
5000,14,499,6,110,173,211
5000,16,477,3,112,159,203
5000,18,479,5,121,141,212
5000,20,544,4,119,216,205
5000,22,458,3,122,124,209
5000,24,546,5,154,171,217
5000,26,629,4,150,247,228
5000,28,544,2,184,158,200
5000,30,599,6,185,186,222
5000,32,653,6,154,271,222
10000,1,3634,21,637,2939,37
10000,2,2663,27,432,1764,442
10000,4,2174,21,328,1165,661
10000,6,1906,17,273,839,777
10000,8,1852,16,292,675,869
10000,10,1874,18,314,666,876
10000,12,1564,15,273,589,687
10000,14,1629,10,299,537,784
10000,16,1658,8,319,579,753
10000,18,1497,9,304,492,692
10000,20,1491,4,291,523,673
10000,22,1397,4,327,420,646
10000,24,1495,5,336,456,698
10000,26,1566,9,348,519,691
10000,28,1594,10,391,502,691
10000,30,1624,6,384,536,698
10000,32,1600,5,388,504,703
15000,1,7889,23,1354,6460,52
15000,2,5418,31,933,3428,1027
15000,4,4378,27,691,2205,1456
15000,6,4054,24,700,1709,1621
15000,8,3742,22,638,1435,1647
15000,10,3448,18,545,1306,1580
15000,12,3436,17,621,1177,1622
15000,14,3138,11,595,1092,1440
15000,16,3169,8,600,1046,1514
15000,18,2793,4,584,893,1313
15000,20,2766,6,588,930,1241
15000,22,2671,8,625,844,1194
15000,24,2824,10,628,877,1309
15000,26,2852,8,665,883,1296
15000,28,3020,5,709,976,1329
15000,30,3161,5,679,970,1507
15000,32,3103,8,800,934,1361
20000,1,16422,25,2555,13796,46
20000,2,11139,29,1688,7598,1826
20000,4,8150,32,1263,4051,2805
20000,6,7093,27,1073,3249,2744
20000,8,6603,24,1107,2562,2910
20000,10,6722,29,1068,2245,3380
20000,12,6026,20,1077,2020,2910
20000,14,5916,14,976,2025,2902
20000,16,5656,22,1033,1883,2718
20000,18,5279,10,962,1862,2445
20000,20,5400,7,1028,1682,2683
20000,22,5204,12,1061,1802,2329
20000,24,5225,8,1086,1685,2446
20000,26,5206,9,1112,1499,2587
20000,28,5601,9,1122,1880,2590
20000,30,5649,11,1230,1754,2653
20000,32,5645,10,1279,1529,2827
25000,1,25659,31,4323,21257,48
25000,2,16853,32,2605,11253,2964
25000,4,11537,36,1899,5702,3901
25000,6,10402,33,1825,4281,4264
25000,8,9535,32,1694,3426,4383
25000,10,9289,29,1655,2921,4685
25000,12,9549,35,1642,2902,4971
25000,14,8551,39,1605,2440,4467
25000,16,9237,14,1631,2609,4983
25000,18,8008,15,1546,2229,4217
25000,20,8545,20,1643,2215,4666
25000,22,7685,9,1570,2356,3750
25000,24,8057,14,1704,2328,4012
25000,26,8054,10,1775,2394,3874
25000,28,8269,14,1810,2480,3964
25000,30,8136,21,1906,2206,4002
25000,32,8396,9,1894,2507,3986
30000,1,37810,32,6691,31022,65
30000,2,24906,53,3797,16934,4123
30000,4,18210,34,2940,9022,6214
30000,6,16369,35,2619,6664,7051
30000,8,14825,32,2242,5310,7242
30000,10,14908,37,2575,3964,8332
30000,12,13582,31,2227,3879,7445
30000,14,12549,27,2214,4328,5980
30000,16,12094,24,2231,3398,6441
30000,18,12128,15,2218,3329,6566
30000,20,11727,18,2329,3159,6222
30000,22,11213,12,2322,3347,5532
30000,24,11436,20,2437,3381,5598
30000,26,11593,11,2473,3162,5947
30000,28,11928,13,2636,3340,5939
30000,30,12080,13,2707,3724,5636
30000,32,12346,10,2847,3566,5923
35000,1,68426,34,7983,60377,32
35000,2,41436,42,4837,30727,5831
35000,4,30145,46,3810,16643,9646
35000,6,25394,44,3358,11999,9993
35000,8,23032,34,3261,9303,10435
35000,10,20905,39,3162,7211,10493
35000,12,19764,34,3060,6190,10480
35000,14,19505,22,3030,6489,9964
35000,16,18542,30,3178,5957,9377
35000,18,17946,14,3127,5401,9404
35000,20,17287,15,3143,5175,8954
35000,22,16099,12,3199,4841,8048
35000,24,16491,16,3340,4890,8245
35000,26,16959,15,3400,5291,8253
35000,28,17566,19,3566,5620,8361
35000,30,17851,12,3675,5509,8655
35000,32,17581,15,3734,5624,8207
40000,1,89752,37,9988,79688,39
40000,2,55238,31,6595,41119,7493
40000,4,38963,37,4848,22352,11726
40000,6,32314,43,4435,15620,12216
40000,8,31173,39,4362,12374,14398
40000,10,29479,39,4600,9927,14913
40000,12,27479,35,4191,8664,14589
40000,14,26227,33,3975,9039,13181
40000,16,24754,26,4171,7250,13306
40000,18,23229,23,4064,7191,11951
40000,20,22756,27,4156,7096,11477
40000,22,22380,21,4228,6765,11366
40000,24,21211,20,4246,6424,10521
40000,26,22095,13,4497,6339,11246
40000,28,22826,16,4579,7064,11167
40000,30,22930,39,4997,6524,11370
40000,32,23365,17,5030,6926,11393
45000,1,122012,39,13725,108196,52
45000,2,73645,51,7918,55124,10553
45000,4,51561,47,5951,30652,14912
45000,6,43480,42,5705,20703,17031
45000,8,40192,37,5862,16496,17797
45000,10,38195,49,5587,13276,19283
45000,12,35734,46,5397,11383,18908
45000,14,34485,47,5193,9967,19278
45000,16,32139,30,5131,10307,16671
45000,18,30868,20,5307,9361,16181
45000,20,29397,24,5190,8704,15479
45000,22,28029,16,5368,8954,13691
45000,24,29311,29,5698,8233,15352
45000,26,28488,19,5865,8324,14280
45000,28,27615,15,5818,8266,13516
45000,30,30214,19,6209,9116,14870
45000,32,30294,13,6564,8625,15092
50000,1,130714,33,16328,114283,70
50000,2,84717,48,10414,61347,12909
50000,4,59133,48,7617,32880,18589
50000,6,51437,43,6690,23486,21218
50000,8,48013,46,6920,17880,23167
50000,10,45566,44,6592,15200,23730
50000,12,42652,35,6544,12402,23672
50000,14,41666,47,6599,10978,24041
50000,16,38509,38,6593,9848,22030
50000,18,38831,35,6455,9530,22811
50000,20,35458,16,6553,8900,19990
50000,22,35971,24,6797,10047,19102
50000,24,35661,17,6828,10047,18770
50000,26,35291,18,7128,9304,18841
50000,28,36126,14,7429,9573,19110
50000,30,34771,11,7744,8669,18347
50000,32,35836,15,7896,8873,19052
